"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"1446","Tellurek niklu","12142-88-0","235-260-6"
"1447","Tetrasiarczek triniklu","12137-12-1","—"
"1448","Bis(arsenian(III)) triniklu","74646-29-0","—"
"1449","Szary peryklaz kobaltu i niklu; C.I. Pigment Black 25; C.I. 77332 [1], Ditlenek kobaltu i niklu [2], Tlenek kobaltu i niklu [3]","68186-89-0 [1], 58591-45-0 [2], 12737-30-3 [3]","269-051-6 [1], 261-346-8 [2], 620-395-9 [3]"
"1450","Tritlenek niklu i cyny; cynian (IV) niklu","12035-38-0","234-824-9"
"1451","Dekatlenek niklu i triuranu","15780-33-3","239-876-6"
"1452","Ditiocyjanian niklu","13689-92-4","237-205-1"
"1453","Dichromian (VI) niklu","15586-38-6","239-646-5"
"1454","Selenian(IV) niklu(II)","10101-96-9","233-263-7"
"1455","Selenek niklu","1314-05-2","215-216-2"
"1456","Sól ołowiowo-niklowa kwasu krzemowego","68130-19-8","—"
"1457","Diarsenek niklu [1], Arsenek niklu [2]","12068-61-0 [1], 27016-75-7 [2]","235-103-1 [1], 248-169-1 [2]"
"1458","Nikiel bar tytan priderit; C.I. Pigment Yellow 157; C.I. 77900","68610-24-2","271-853-6"
"1459","Dichloran(V) niklu [1], Dibromian (V) niklu [2], Sól niklowa(II) wodorosiarczanu etylu [3]","67952-43-6 [1], 14550-87-9 [2], 71720-48-4 [3]","267-897-0 [1], 238-596-1 [2], 275-897-7 [3]"
"1460","Trifluorooctan niklu(II) [1], Propionian niklu(II) [2], Bis(benzenosulfonian) niklu [3], Wodorocytrynian niklu(II) [4], Sól amonowo-niklowa kwasu cytrynowego [5], Sól niklowa kwasu cytrynowego [6], Bis(2-etyloheksanian) niklu [7], Sól niklowa kwasu 2-etyloheksanowego [8], Sól niklowa kwasu dimetyloheksanowego [9], Izooktanian niklu(II) [10], Izooktanian niklu [11], Bis(izononanian) niklu [12], Neononanian niklu(II) [13], Izodekanian niklu(II) [14], Neodekanian niklu(II) [15], Sól niklowa kwasu neodekanowego [16], Neoundekanian niklu(II) [17], Bis(D-glukonian-O 1,O 2)niklu [18], 3,5-bis(tert-butylo)-4-hydroksybenzoesan niklu (2:1) [19], Palmitynian niklu(II) [20], (2-etyloheksanian-O)(izononanian-O)niklu [21], (izononanian-O)(izooktanian-O)niklu [22], (izooktanian-O)(neodekanian-O)niklu [23], (2-etyloheksanian-O)(izodekanian-O)niklu [24], (2-etyloheksanian-O)(neodekanian-O)niklu [25], (izodekanian-O)(izooktanian-O)niklu [26], (izodekanian-O)(izononanian-O)niklu [27], (izononanian-O)(neodekanian-O)niklu [28], Sole niklowe kwasów tłuszczowych o łańcuchach rozgałęzionych C6-19 [29], Sole niklowe kwasów tłuszczowych o łańcuchach C8-18 i C18 nienasyconych [30], Sól niklowa(II) kwasu 2,7-naftalenodisulfonowego [31]","16083-14-0 [1], 3349-08-4 [2], 39819-65-3 [3], 18721-51-2 [4], 18283-82-4 [5], 22605-92-1 [6], 4454-16-4 [7], 7580-31-6 [8], 93983-68-7 [9], 29317-63-3 [10], 27637-46-3 [11], 84852-37-9 [12], 93920-10-6 [13], 85508-43-6 [14], 85508-44-7 [15], 51818-56-5 [16], 93920-09-3 [17], 71957-07-8 [18], 52625-25-9 [19], 13654-40-5 [20], 85508-45-8 [21], 85508-46-9 [22], 84852-35-7 [23], 84852-39-1 [24], 85135-77-9 [25], 85166-19-4 [26], 84852-36-8 [27], 85551-28-6 [28], 91697-41-5 [29], 84776-45-4 [30], 72319-19-8 [31]","240-235-8 [1], 222-102-6 [2], 254-642-3 [3], 242-533-3 [4], 242-161-1 [5], 245-119-0 [6], 224-699-9 [7], 231-480-1 [8], 301-323-2 [9], 249-555-2 [10], 248-585-3 [11], 284-349-6 [12], 300-094-6 [13], 287-468-1 [14], 287-469-7 [15], 257-447-1 [16], 300-093-0 [17], 276-205-6 [18], 258-051-1 [19], 237-138-8 [20], 287-470-2 [21], 287-471-8 [22], 284-347-5 [23], 284-351-7 [24], 285-698-7 [25], 285-909-2 [26], 284-348-0 [27], 287-592-6 [28], 294-302-1 [29], 283-972-0 [30], [31]"
"1461","Siarczan(IV) niklu(II) [1], Tritlenek niklu i telluru [2], Tetratlenek niklu i telluru [3], Wodorotlenek, tlenek i fosforan molibdenu i niklu [4]","7757-95-1 [1], 15851-52-2 [2], 15852-21-8 [3], 68130-36-9 [4]","231-827-7 [1], 239-967-0 [2], 239-974-9 [3], 268-585-7 [4]"
"1462","Borek niklu (NiB) [1], Borek diniklu [2], Borek triniklu [3], Borek niklu [4], Krzemek diniklu [5], Dikrzemek niklu [6], Fosforek diniklu [7], Fosforek niklu i boru [8]","12007-00-0 [1], 12007-01-1 [2], 12007-02-2 [3], 12619-90-8 [4], 12059-14-2 [5], 12201-89-7 [6], 12035-64-2 [7], 65229-23-4 [8]","234-493-0 [1], 234-494-6 [2], 234-495-1 [3], 235-723-2 [4], 235-033-1 [5], 235-379-3 [6], 234-828-0 [7], — [8]"
"1463","Tetratlenek dialuminium i niklu [1], Tritlenek niklu i tytanu [2], Tlenek niklu i tytanu [3], Heksatlenek niklu i diwanadu [4], Oktatlenek kobaltu, dimolibdenu i niklu [5], Tritlnek niklu i cyrkonu [6], Tetratlenek molibdenu i niklu [7], Tetratlenek niklu i wolframu [8], Oliwin, zieleń niklowa [9], Ditlenek litu i niklu [10], Tlenek molibdenu i niklu [11]","12004-35-2 [1], 12035-39-1 [2], 12653-76-8 [3], 52502-12-2 [4], 68016-03-5 [5], 70692-93-2 [6], 14177-55-0 [7], 14177-51-6 [8], 68515-84-4 [9], 12031-65-1 [10], 12673-58-4 [11]","234-454-8 [1], 234-825-4 [2], 235-752-0 [3], 257-970-5 [4], 268-169-5 [5], 274-755-1 [6], 238-034-5 [7], 238-032-4 [8], 271-112-7 [9], 620-400-4 [10], — [11]"
"1464","Tlenek kobaltu, litu i niklu","—","442-750-5"
"1465","Tritlenek molibdenu","1313-27-5","215-204-7"
"1466","Dichlorek dibutylocyny; (DBTC)","683-18-1","211-670-0"
"1467","4,4′-bis(N-karbamoilo-4-metylobenzenosulfonamido)difenylometan","151882-81-4","418-770-5"
"1468","Alkohol furfurylowy","98-00-0","202-626-1"
"1469","1,2-epoksy-4-epoksyetylocykloheksan; diepoksy-4-winylocykloheksen","106-87-6","203-437-7"
"1470","6-glicydyloksynaf-1-ylo oksymetylooksiran","27610-48-6","429-960-2"
"1471","2-(2-aminoetyloamino)etanol (AEEA)","111-41-1","203-867-5"
"1472","1,2-dietoksyetan","629-14-1","211-076-1"
"1473","Chlorek 2,3-epoksypropylotrimetyloamonu; chlorek glicydylotrimetyloamonu","3033-77-0","221-221-0"
"1474","Chlorowodorek 1-(2-amino-5-chlorofenylo)-2,2,2-trifluoro-1,1-etandiolu","214353-17-0","433-580-2"
"1475","(E)-3-[1-[4-[2-(dimetyloamino)etoksy]fenylo]-2-fenylobut-1-enylo]fenol","82413-20-5","428-010-4"
"1476","4,4′-(1,3-fenyleno-bis(1-metyloetylideno))bis-fenol","13595-25-0","428-970-4"
"1477","2-chloro-6-fluoro-fenol","2040-90-6","433-890-8"
"1478","2-metylo-5-tert-butylotiofenol","—","444-970-7"
"1479","2-butyrylo-3-hydroksy-5-tiocykloheksan-3-ylo-cykloheks-2-en-1-on","94723-86-1","425-150-8"
"1480","Profoksydym (ISO); 2-{(EZ)-1-[(2RS)-2-(4-chlorofenoksy)propoksyimino]butylo}-3-hydroksy-5-(tian-3-ylo)cycloheks-2-en-1-on","139001-49-3","604-105-8"
"1481","Tepraloksydym (ISO); (RS)-(EZ)-2-{1-[(2E)-3-chloroallyloksyimino]propyl}-3-hydroksy-5-perhydropyran-4-ylcycloheks-2-en-1-on","149979-41-9","604-715-4"
"1482","Cykliczny 3-(1,2-etanodiyloacetalo)-estra-5(10),9(11)-dieno-3,17-dion","5571-36-8","427-230-8"
"1483","Androsta-1,4,9(11)-trieno-3,17-dion","15375-21-0","433-560-3"
"1484","Masa reakcji: salicylanów wapnia (alkilowanych rozgałęzionymi C10-14 i C18-30); fenolanów wapnia (alkilowanych rozgałęzionymi C10-14 i C18-30); siarkowanych fenolanów wapnia (alkilowanych rozgałęzionymi C10-14 i C18-30)","—","415-930-6"
"1485","Kwas 1,2-benzenodikarboksylowy; estry alkilowe o łańcuchach rozgałęzionych di-C6-8, bogate w C7","71888-89-6","276-158-1"
"1486","Masa reakcji: diestru 4,4′-metylenobis[2-(2-hydroksy-5-metylobenzylo)-3,6-dimetylofenolu] oraz kwasu 6-diazo-5,6-dihydro-5-oksonaftaleno-1-sulfonowego (1:2); triestru 4,4′-metylenobis[2-(2-hydroksy-5-metylobenzylo)-3,6-dimetylofenolu] oraz kwasu 6-diazo-5,6-dihydro-5-oksonaftaleno-1-sulfonowego (1:3)","—","427-140-9"
"1487","1-hydroksy-2-(4-(4-karboksyfenyloazo)-2,5-dimetoksyfenyloazo)-7-amino-3-naftalenosulfonian diamonu","150202-11-2","422-670-7"
"1488","Kwas 3-oksoandrost-4-eno-17-β-karboksylowy","302-97-6","414-990-0"
"1489","Kwas (Z)-2-metoksymino-2-[2-(trityloamino)tiazolo-4-yl]octowy","64485-90-1","431-520-1"
"1490","Nitrylotrioctan trisodu","5064-31-3","225-768-6"
"1491","2-etyloheksylo-2-etyloheksanonian","7425-14-1","231-057-1"
"1492","Ftalan diizobutylu","84-69-5","201-553-2"
"1493","Kwas perfluorooktanosulfonowy; kwas heptadekafluorooktano-1-sulfonowy [1], <br>Perfluorooktanosulfonian potasu; heptadekafluorooktano-1-sulfononian potasu [2], <br>Perfluorooktanosulfonian dietanoloaminy [3], <br>Perfluorooktanosulfonian amonu; heptadekafluorooktanosulfononian amonu [4], <br>Perfluorooktanosulfonian litu; heptadekafluorooktanosulfononian litu [5]","1763-23-1 [1], <br>2795-39-3 [2], <br>70225-14-8 [3], <br>29081-56-9 [4], <br>29457-72-5 [5]","217-179-8 [1], <br>220-527-1 [2], <br>274-460-8 [3], <br>249-415-0 [4], 249-644-6 [5]"
"1494","1-(2,4-dichlorofenylo)5-(trichlorometylo)-1H-1,2,4-triazolo-3-karboksylan etylu","103112-35-2","401-290-5"
"1495","Propionian 1-bromo-2-metylopropylu","158894-67-8","422-900-6"
"1496","Węglan chloro-1-etylocykloheksylu","99464-83-2","444-950-8"
"1497","6,6′-bis(diazo-5,5′,6,6′-tetrahydro-5,5′-diokso)[metyleno-bis(5-(6-diazo-5,6-dihydro-5-okso-1-naftylosulfonylooksy)-6-metylo-2-fenyleno]di(naftaleno-1-sulfonian)","—","441-550-5"
"1498","Trifluralyna (ISO); α,α,α-trifluoro-2,6-dinitro-N,N-dipropylo-p-toluidyna; 2,6-dinitro-N,N-dipropylo-4-trifluorometyloanilina; N,N-dipropylo-2,6-dinitro-4-trifluorometyloanilina","1582-09-8","216-428-8"
"1499","4-mesylo-2-nitrotoluen","1671-49-4","430-550-0"
"1500","4-[4-[7-(4-karboksylatoanilino)-1-hydroksy-3-sulfonato-2-naftyloazo]-2,5-dimetoksyfenyloazo]benzoesan triamonu","221354-37-6","432-270-4"
"1501","Masa reakcji: 6-amino-3-((2,5-dietoksy-4-(3-fosfonofenylo)azo)fenylo)azo-4-hydroksy-2-naftalenosulfonian triamonu; 3-((4-((7-amino-1-hydroksy-3-sulfo-naftalen-2-ylo)azo)-2,5-dietoksyfenylo)azo)benzoesan diamonu","163879-69-4","438-310-7"
"1502","N,N′-diacetylobenzydyna","613-35-4","210-338-2"
"1503","Cykloheksyloamina","108-91-8","203-629-0"
"1504","Piperazyna","110-85-0","203-808-3"
"1505","Hydroksylamina","7803-49-8","232-259-2"
"1506","Chlorek hydroksyloamoniowy; chlorowodorek hydroksyloaminy [1] <br>Siarczan bis(hydroksyloamonu); siarczan hydroksyloaminy (2:1) [2]","5470-11-1 [1] <br>10039-54-0 [2]","226-798-2 [1] <br>233-118-8 [2]"
"1507","Diaminotoluen, metylofenylenodiamina, produkt techniczny – masa poreakcyjna [4-metylo-m-fenylenodiaminy oraz 2-metylo-m-fenylenodiaminy]","_","_"
"1508","Mepanipirym; 4-metylo-N-fenylo-6-(1-propynylo)-2-pirymidynoamina","110235-47-7","600-951-7"
"1509","Wodorosiarczan hydroksyloaminy; siarczan hydroksyloaminy (1:1) [1], <br>Fosforan hydroksyloaminy [2], <br>Diwodorofosforan hydroksyloaminy [3], <br>4-metylobenzenosulfonian hydroksyloaminy [4]","10046-00-1 [1], <br>20845-01-6 [2], <br>19098-16-9 [3], <br>53933-48-5 [4]","233-154-4 [1], <br>244-077-0 [2], <br>242-818-2 [3], <br>258-872-5 [4]"
"1510","Chlorek (3-chloro-2-hydroksypropylo) trimetyloamonu","3327-22-8","222-048-3"
"1511","Bifenylo-3,3′,4,4′-tetraylotetraamina; diaminobenzydyna","91-95-2","202-110-6"
"1512","Chlorowodorek piperazyny [1], <br>Dichlorowodorek piperazyny [2], <br>Fosforan piperazyny [3]","6094-40-2 [1], <br>142-64-3 [2], <br>1951-97-9 [3]","228-042-7 [1], <br>205-551-2 [2], <br>217-775-8 [3]"
"1513","Chlorowodorek 3-(piperazyn-1-ylo)-benzo[d]izotiazolu","87691-88-1","421-310-6"
"1514","Chlorowodorek 2-etylofenylohydrazyny","19398-06-2","421-460-2"
"1515","Chlorek (2-chloroetylo)(3-hydroksypropylo)amonu","40722-80-3","429-740-6"
"1516","Dichlorowodorek 4-[(3-chlorofenylo)(1H-imidazol-1-ilo)metylo]-1,2-benzenodiaminy","159939-85-2","425-030-5"
"1517","Chlorek chloro-N,N-dimetyloformiminium","3724-43-4","425-970-6"
"1518","7-metoksy-6-(3-morfolin-4-ylo-propoksy)-3H-chinazolin-4-on","199327-61-2","429-400-7"
"1519","Produkty reakcji diizopropanoloaminy z formaldehydem (1:4)","220444-73-5","432-440-8"
"1520","3-chloro-4-(3-fluorobenzyloksy)anilina","202197-26-0","445-590-4"
"1521","Bromek etydu; bromek 3,8-diamino-1-etylo-6-fenylofenantrydyny","1239-45-8","214-984-6"
"1522","(R,S)-2-amino-3,3-dimetylobutanoamid","144177-62-8","447-860-7"
"1523","3-amino-9-etylokarbazol; 9-etylokarbazol-3-yloamina","132-32-1","205-057-7"
"1524","(6R-trans)-1-((7-A-amono-2-carboksylano-8-okso-5-tia-1-azabicyklo-[4.2.0]okt-2-en-3-ylo)metylo)jodek pirydyniowy","100988-63-4","423-260-0"
"1525","Forchlorfenuron (ISO); 1-(2-chloro-4-pirydylo)-3-fenylomocznik","68157-60-8","614-346-0"
"1526","Tetrahydro-1,3-dimetylo-1H-pirymidyn-2-on; dimetylopropylomocznik","7226-23-5","230-625-6"
"1527","Chinolina","91-22-5","202-051-6"
"1528","Ketokonazol; 1-[4-[4-[[(2SR,4RS)-2-(2,4-dichlorofenylo)-2-(imidazol-1-ilometylo)-1,3-dioksolan-4-ylo]metoksy]fenylo]piperazyn-1-ylo]etanon","65277-42-1","265-667-4"
"1529","Metkonazol (ISO); (1RS,5RS,1RS,5SR)-5-(4-chlorobenzylo)-2,2-dimetylo-1-(1H-1,2,4-triazol-1-ilometylo)cyklopentanol","125116-23-6","603-031-3"
"1530","1-metylo-3-morfolinokarbonylo-4-[3-(1-metylo-3-morfolinokarbonylo-5-okso-2-pyrazolin-4-ylideno)-1-propenylo]pyrazol-5-olan potasu","183196-57-8","418-260-2"
"1531","N,N′,Ntris(2-metylo-2,3-epoksypropylo)-perhydro-2,4,6-okso-1,3,5-triazyna","26157-73-3","435-010-8"
"1532","Trimetylopropano tri(3-azyrydynylopropanonian) (TAZ)","52234-82-9","257-765-0"
"1533","4,4′-metylenodifenylo diizocyjanian; difenylometano-4,4′-diizocyjanian [1], <br>2,2′-metylenodifenylo diizocyjanian; difenylometano-2,2′-diizocyjanian [2], <br>o-(p-izocyjanianobenzylo)fenylo izocyjanian; difenylometano-2,4′-diizocyjanian [3], <br>metylenodifenylo diizocyjanian [4]","101-68-8 [1], <br>2536-05-2 [2], <br>5873-54-1 [3], <br>26447-40-5 [4]","202-966-0 [1], <br>219-799-4 [2], <br>227-534-9 [3], <br>247-714-0 [4]"
"1534","Cynidon etylowy (ISO); etylo(Z)-2-chloro-3-[2-chloro-5-(cycloheks-1-eno-1,2-dikarboksymido)fenylo]akrylan","142891-20-1","604-318-6"
"1535","N-[6,9-dihydro-9-[[2-hydroksy-1-(hydroksymetylo)etoksy]metylo]-6-okso-1H-puryn-2-ylo]acetamid","84245-12-5","424-550-1"
"1536","Dimoksystrobina (ISO); (E)-2-(metoksyimino)-N-metylo-2-[(-(2,5-ksyliloksy)-o-tolilo]acetamid","149961-52-4","604-712-8"
"1537","Chlorowodorek N,N-(dimetyloamino)tioacetamidu","27366-72-9","435-470-1"
"1538","Masa reakcji: 2,2′-[(3,3′-dichloro[1,1′-bifenylo]-4,4′-diylo)bis(azo)]bis[N-(2,4-dimetylofenylo)]-3-okso-butyramidu; 2-[[3,3′-dichloro-4′-[[1[[(2,4-dimetylofenylo)amino]karbonylo]-2-oksopropylo]azo][1,1′-bifenylo]-4-yl]azo]-N-(2-metylofenylo)-3-okso-butanoamidu; 2-[[3,3′-dichloro-4′-[[1[[(2,4-dimetylofenylo)amino]karbonylo]-2-oksopropylo]azo][1,1′-bifenylo]-4-yl]azo]-N-(2-metylofenylo)-3-okso-butanoamidu;",,"434-330-5"
"1539","Ropa naftowa, węgiel, smoła i gaz ziemny oraz ich pochodne wytworzone przy zastosowaniu destylacji lub innych metod przetwarzania, jeśli zawierają≥ 0,1 % w/w benzenu","85536-20-5 85536-19-2 90641-12-6 90989-38-1 91995-20-9 92062-36-7 91995-61-8 101316-63-6 93821-38-6 90641-02-4 101316-62-5 90641-03-5 65996-79-4 101794-90-5 90640-87-2 84650-03-3 65996-82-9 90641-01-3 65996-87-4 90640-99-6 68391-11-7 92062-33-4 91082-52-9 68937-63-3 92062-28-7 92062-27-6 91082-53-0 91995-31-2 91995-35-6 91995-66-3 122070-79-5 122070-80-8 65996-78-3 94114-52-0 94114-53-1 94114-54-2 94114-56-4 94114-57-5 90641-11-5 8006-61-9 8030-30-6 8032-32-4 64741-41-9 64741-42-0 64741-46-4 64742-89-8 68410-05-9 68514-15-8 68606-11-1 68783-12-0 68921-08-4 101631-20-3 64741-64-6 64741-65-7 64741-66-8 64741-70-4 64741-84-0 64741-92-0 68410-71-9 68425-35-4 68527-27-5 91995-53-8 92045-49-3 92045-55-1 92045-58-4 92045-64-2 101316-67-0 64741-54-4 64741-55-5 68476-46-0 68783-09-5 91995-50-5 92045-50-6 92045-59-5 92128-94-4 101794-97-2 101896-28-0 64741-63-5 64741-68-0 68475-79-6 68476-47-1 68478-15-9 68513-03-1 68513-63-3 68514-79-4 68919-37-9 68955-35-1 85116-58-1 91995-18-5 93571-75-6 93572-29-3 93572-35-1 93572-36-2 64741-74-8 64741-83-9 67891-79-6 67891-80-9 68425-29-6 68475-70-7 68603-00-9 68603-01-0 68603-03-2 68955-29-3 92045-65-3 64742-48-9 64742-49-0 64742-73-0 68410-96-8 68410-97-9 68410-98-0 68512-78-7 85116-60-5 85116-61-6 92045-51-7 92045-52-8 92045-57-3 92045-61-9 92062-15-2 93165-55-0 93763-33-8 93763-34-9 64741-47-5 64741-48-6 64741-69-1 64741-78-2 64741-87-3 64742-15-0 64742-22-9 64742-23-0 64742-66-1 64742-83-2 64742-95-6 68131-49-7 68477-34-9 68477-50-9 68477-53-2 68477-55-4 68477-61-2 68477-89-4 68478-12-6 68478-16-0 68513-02-0 68516-20-1 68527-21-9 68527-22-0 68527-23-1 68527-26-4 68603-08-7 68606-10-0 68783-66-4 68919-39-1 68921-09-5 85116-59-2 86290-81-5 90989-42-7 91995-38-9 91995-41-4 91995-68-5 92045-53-9 92045-60-8 92045-62-0 92045-63-1 92201-97-3 93165-19-6 94114-03-1 95009-23-7 97926-43-7 98219-46-6 98219-47-7 101316-56-7 101316-66-9 101316-76-1 101795-01-1 102110-14-5 68476-50-6 68476-55-1 90989-39-2","287-502-5 287-500-4 292-636-2 292-694-9 295-281-1 295-551-9 295-323-9 309-868-8 298-725-2 292-625-2 309-867-2 292-626-8 266-013-0 309-971-8 292-609-5 283-483-2 266-016-7 292-624-7 266-021-4 292-622-6 269-929-9 295-548-2 293-766-2 273-077-3 295-543-5 295-541-4 293-767-8 295-292-1 295-295-8 295-329-1 310-170-0 310-171-6 266-012-5 302-688-0 302-689-6 302-690-1 302-692-2 302-693-8 292-635-7 232-349-1 232-443-2 232-453-7 265-041-0 265-042-6 265-046-8 265-192-2 270-077-5 271-025-4 271-727-0 272-186-3 272-931-2 309-945-6 265-066-7 265-067-2 265-068-8 265-073-5 265-086-6 265-095-5 270-088-5 270-349-3 271-267-0 295-315-5 295-430-0 295-436-3 295-440-5 295-446-8 309-871-4 265-055-7 265-056-2 270-686-6 272-185-8 295-311-3 295-431-6 295-441-0 295-794-0 309-974-4 309-987-5 265-065-1 265-070-9 270-660-4 270-687-1 270-794-3 270-993-5 271-008-1 271-058-4 272-895-8 273-271-8 285-509-8 295-279-0 297-401-8 297-458-9 297-465-7 297-466-2 265-075-6 265-085-0 267-563-4 267-565-5 270-344-6 270-658-3 271-631-9 271-632-4 271-634-5 273-266-0 295-447-3 265-150-3 265-151-9 265-178-6 270-092-7 270-093-2 270-094-8 270-988-8 285-511-9 285-512-4 295-432-1 295-433-7 295-438-4 295-443-1 295-529-9 296-942-7 297-852-0 297-853-6 265-047-3 265-048-9 265-071-4 265-079-8 265-089-2 265-115-2 265-122-0 265-123-6 265-170-2 265-187-5 265-199-0 268-618-5 270-725-7 270-735-1 270-736-7 270-738-8 270-741-4 270-771-8 270-791-7 270-795-9 270-991-4 271-138-9 271-262-3 271-263-9 271-264-4 271-266-5 271-635-0 271-726-5 272-206-0 272-896-3 272-932-8 285-510-3 289-220-8 292-698-0 295-298-4 295-302-4 295-331-2 295-434-2 295-442-6 295-444-7 295-445-2 296-028-8 296-903-4 302-639-3 305-750-5 308-261-5 308-713-1 308-714-7 309-862-5 309-870-9 309-879-8 309-976-5 310-012-0 270-690-8 270-695-5 292-695-4"
"1540","Ropa naftowa, węgiel, smoła i gaz ziemny oraz ich pochodne wytworzone przy zastosowaniu destylacji lub innych metod przetwarzania, jeśli zawierają≥ 0,005 % w/w benzo[a]pirenu","90640-85-0 92061-93-3 90640-84-9 61789-28-4 70321-79-8 122384-77-4 70321-80-1","292-606-9 295-506-3 292-605-3 263-047-8 274-565-9 310-189-4 274-566-4"
"1541","Ropa naftowa, węgiel, smoła i gaz ziemny oraz ich pochodne wytworzone przy zastosowaniu destylacji lub innych metod przetwarzania, jeśli zawierają≥ 0,1 % w/w benzenu lub jeśli zawierają≥ 0,005 % w/w benzo[a]pirenu","85029-51-2 84650-04-4 84989-09-3 91995-49-2 121620-47-1 121620-48-2 90640-90-7 90641-04-6 101896-27-9 101794-91-6 91995-48-1 90641-05-7 84989-12-8 121620-46-0 90640-81-6 90640-82-7 92061-92-2 91995-15-2 91995-16-3 91995-17-4 101316-87-4 122384-78-5 84988-93-2 90640-88-3 65996-83-0 90640-89-4 90641-06-8 65996-85-2 101316-86-3 92062-22-1 96690-55-0 84989-04-8 84989-05-9 84989-06-0 84989-03-7 84989-07-1 68477-23-6 68555-24-8 91079-47-9 92062-26-5 94114-29-1 90641-00-2 68513-87-1 70321-67-4 92062-29-8 100801-63-6 100801-65-8 100801-66-9 73665-18-6 68815-21-4 65996-86-3 65996-84-1","285-076-5 283-484-8 284-898-1 295-310-8 310-166-9 310-167-4 292-612-1 292-627-3 309-985-4 309-972-3 295-309-2 292-628-9 284-901-6 310-165-3 292-603-2 292-604-8 295-505-8 295-275-9 295-276-4 295-278-5 309-889-2 310-191-5 284-881-9 292-610-0 266-017-2 292-611-6 292-629-4 266-019-3 309-888-7 295-536-7 306-251-5 284-892-9 284-893-4 284-895-5 284-891-3 284-896-0 270-713-1 271-418-0 293-435-2 295-540-9 302-662-9 292-623-1 271-020-7 274-560-1 295-544-0 309-745-9 309-748-5 309-749-0 277-567-8 272-361-4 266-020-9 266-018-8"
"1542","Ropa naftowa, węgiel, smoła i gaz ziemny oraz ich pochodne wytworzone przy zastosowaniu destylacji lub innych metod przetwarzania, jeśli zawierają≥ 0,1 % w/w 1,3-butadienu","68607-11-4 68783-06-2 68814-67-5 68814-90-4 68911-58-0 68911-59-1 68919-01-7 68919-02-8 68919-03-9 68919-04-0 68919-07-3 68919-08-4 68919-11-9 68919-12-0 68952-79-4 68952-80-7 68955-33-9 68989-88-8 92045-15-3 92045-16-4 92045-17-5 92045-18-6 92045-19-7 92045-20-0 68131-75-9 68307-98-2 68307-99-3 68308-00-9 68308-01-0 68308-10-1 68308-03-2 68308-04-3 68308-05-4 68308-06-5 68308-07-6 68308-09-8 68308-11-2 68308-12-3 68409-99-4 68475-57-0 68475-58-1 68475-59-2 68475-60-5 68476-26-6 68476-29-9 68476-40-4 68476-42-6 68476-49-3 68476-85-7 68476-86-8 68477-33-8 68477-35-0 68477-69-0 68477-70-3 68477-71-4 68477-72-5 68308-08-7","271-750-6 272-182-1 272-338-9 272-343-6 272-775-5 272-776-0 272-873-8 272-874-3 272-875-9 272-876-4 272-880-6 272-881-1 272-884-8 272-885-3 273-173-5 273-174-0 273-269-7 273-563-5 295-397-2 295-398-8 295-399-3 295-400-7 295-401-2 295-402-8 268-629-5 269-617-2 269-618-8 269-619-3 269-620-9 269-630-3 269-623-5 269-624-0 269-625-6 269-626-1 269-627-7 269-629-8 269-631-9 269-632-4 270-071-2 270-651-5 270-652-0 270-653-6 270-654-1 270-667-2 270-670-9 270-681-9 270-682-4 270-689-2 270-704-2 270-705-8 270-724-1 270-726-2 270-750-3 270-751-9 270-752-4 270-754-5 269-628-2"
"1543","Fosforan tris[2-chloro-1-(chlorometylo)etylowy]","13674-87-8","237-159-2"
"1544","Fosforek indu","22398-80-7","244-959-5"
"1545","Fosforan triksylilu","25155-23-1","246-677-8"
"1546","Heksabromocyklododekan [1], <br>1,2,5,6,9,10-heksabromocyklododekan [2]","25637-99-4 [1], <br>3194-55-6 [2]","247-148-4 [1], <br>221-695-9 [2]"
"1547","Tetrahydrofuran","109-99-9","203-726-8"
"1548","Abamektyna (mieszanina awermektyny B1a i awermektyny B1b) (ISO) [1], <br>Awermektyna B1a [2]","71751-41-2 [1], <br>65195-55-3 [2]","615-339-5 [1], <br>265-610-3 [2]"
"1549","Kwas 4-tert-butylobenzoesowy","98-73-7","202-696-3"
"1550","Zieleń leukomalachitowa N,N,N′,N′-tetrametylo-4,4′-benzylidenodianilina","129-73-7","204-961-9"
"1551","Fuberidazol (ISO); 2-(2-furyl)-1H-benzimidazol","3878-19-1","223-404-0"
"1552","Metazachlor (ISO); 2-chloro-N-(2,6-dimetylofenylo)-N-(1H-pirazol-1-ylometylo)acetamid","67129-08-2","266-583-0"
"1553","Nadtlenek di-tert-butylu","110-05-4","203-733-6"
"1554","Trichlorometylostannan","993-16-8","213-608-8"
"1555","2-etyloheksylo 10-etylo-4-[[2-[(2-etyloheksylo)oksy]-2-oksoetylo]-tio]-4-metylo-7-okso-8-oksa-3,5-ditia-4-tetradodekanoan cyny","57583-34-3","260-828-5"
"1556","2-etyloheksylo 10-etylo-4,4-dioktylo-7-okso-8-oksa-3,5-ditia-4-o tetradodekanoan cyny","15571-58-1","239-622-4"
"1557","Sulkotrion (ISO); 2-[2-chloro-4-(metylosulfonylo)benzoilo]cykloheksano-1,3-dion","99105-77-8","619-394-6"
