"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"287","Chlorek C22- alkilotrimetyloamoniowy","Behentrimonium chloride <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku stosowania jako środek konserwujący, zob. załącznik V pozycja nr 44.'>(19)</span></sup>","17301-53-0","241-327-0","a) spłukiwane produkty do włosów <br>b) niespłukiwane produkty do włosów <br>c) niespłukiwane produkty do twarzy","a) 5,0 % dla poszczególnych stężeń behentrimonium chloride lub suma poszczególnych stężeń cetrimonium chloride, steartrimonium chloride i behentrimonium chloride, biorąc pod uwagę odpowiednie maksymalne stężenie dla sumy cetrimonium chloride i steartrimonium chloride określone w pozycji 286 <br>b) 3,0 % dla poszczególnych stężeń behentrimonium chloride lub suma poszczególnych stężeń cetrimonium chloride, steartrimonium chloride i behentrimonium chloride, biorąc pod uwagę odpowiednie maksymalne stężenie dla sumy cetrimonium chloride i steartrimonium chloride określone w pozycji 286 <br>c) 3,0 % dla poszczególnych stężeń behentrimonium chloride lub suma poszczególnych stężeń cetrimonium chloride, steartrimonium chloride i behentrimonium chloride, biorąc pod uwagę odpowiednie maksymalne stężenie dla sumy cetrimonium chloride i steartrimonium chloride określone w pozycji 286","Do celów innych niż zahamowanie rozwoju drobnoustrojów w produkcie. <br>Cel musi wynikać z prezentacji produktu.",
"288","Metylosiarczan 3-[(4-amino-3-metylo-9,10-diokso-9,10-dihydroantraceno-1-yl)amino]-N,N,N -trimetylopropano-1-amoniowy","HC Blue No.17","16517-75-2","605-392-2","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 2,0 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %. <br>Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi,<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg,<br>— Przechowywać w pojemnikach niezawierających azotynów.","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"289","Związek kwasu fosforowego z 4-[(2,6-dichlorofenylo) (4-imino-3,5-dimetylo-2,5-cykloheksadieno-1-ylideno) metylo]-2,6-dimetyloaniliną(1:1)","HC Blue No.15","74578-10-2","277-929-5","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,2 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,2 %.","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"290","2,2′-(9,10-dioksoantraceno-1,4-diylodiimino)bis(5-metylosulfonian) disodu","Acid Green 25","4403-90-1","224-546-6","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,3 %",,
"291","4-[(9,10-dihydro-4-hydroksy-9,10-diokso-1-antrylo)amino]tolueno-3-sulfonian sodu","Acid Violet 43","4430-18-6","224-618-7","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"292","2-(metoksymetylo)-1,4-benzenodiamina Siarczan 2-(metoksymetylo)-1,4-benzenodiaminy","2-Metoksymetylo-p-fenylenodiamina Siarczan 2-metoksymetylo-p-fenylenodiaminy","337906-36-2 337906-37-3","679-526-3 638-749-6","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Produkty przeznaczone do barwienia rzęs",,"a) b) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 1,8 % (w przeliczeniu na wolną zasadę) b) Stosowanie profesjonalne","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.” <br>b) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. Nie należy farbować rzęs, jeżeli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. Tylko do użytku profesjonalnego. W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.”"
"293","Metylosiarczan 1-N-metylomorfoliniopropylamino-4-hydroksyantrachinonu","Hydroxyanthraquinone-aminopropyl Methyl Morpholinium Methosulfate","38866-20-5","254-161-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %","— Nie używać z czynnikami nitrozującymi.<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg.<br>— Przechowywać w pojemnikach niezawierających azotynów.","Na etykiecie należy wydrukować: <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"294","2,2′-[[3-metylo-4-[(E)-(4-nitrofenylo)azo]fenylo]imino]bis-etanol","Disperse Red. 17","3179-89-3","221-665-5","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów b) Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","b) 0,2 %","a) Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %. Dla a) i b): <br>— Nie używać z czynnikami nitrozującymi,<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg,<br>— Przechowywać w pojemnikach niezawierających azotynów.","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"295","Kwas 1-naftolo-3,6-disulfonowy","Acid Black 1","1064-48-8","213-903-1","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,5 %",,
"296","3-hydroksy-4-[(E)-(4-metylo-2-sulfonianofenylo)diazenylo]-2-naftoesan disodu","Pigment Red. 57","5858-81-1","227-497-9","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","0,4 %",,
"297","2-(2-etoksyetoksy)etanol Eter monoetylowy glikolu dietylenowego (DEGEE)","Ethoxydiglycol","111-90-0","203-919-7","a) Utleniające produkty do farbowania włosów <br>b) Nieutleniające produkty do farbowania włosów <br>c) Produkty spłukiwane inne niż produkty do farbowania włosów <br>d) Pozostałe produkty kosmetyczne inne niż w aerozolu <br>e) Następujące produkty w aerozolu: czyste kompozycje zapachowe, produkty do włosów w aerozolu, antyperspiranty i dezodoranty","a) 7 % <br>b) 5 % <br>c) 10 % <br>d) 2,6 % <br>e) 2,6 %","a) do e) Poziom zanieczyszczenia glikolu etylenowego w 2-(2-etoksyetoksy)etanolu musi być ≤ 0,1 %. Nie stosować w produktach do oczu i produktach do higieny jamy ustnej.",
"298","Dichlorek di[2-[4-[(E)-2-[4-[bis(2-hydroksyetylo)aminofenylo]winylo]pirydyn-1-io]butanoilo]aminoetylo]disulfanylu","HC Red. No. 17","1449471-67-3",,"Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 września 2017 r.: 0,5 %","Od dnia 3 września 2017 r.: <br>— Nie używać z czynnikami nitrozującymi<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg<br>— Przechowywać w pojemnikach niezawierających azotynów",
"299","Dichlorek di[2-[4-[(E)-2-[2,4,5-trimetoksyfenylo]winylo]pirydyn-1-io]butanoilo]aminoetylo]disulfanylu","HC Yellow No. 17","1450801-55-4",,"Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 września 2017 r.: 0,5 %",,"Od dnia 3 marca 2018 r.: <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"300","Siarczan (2:1) 1-heksylo-1H-pirazolo-4,5-diaminy","1-Hexyl 4,5-Diamino Pyrazole Sulfate","1361000-03-4",,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 %","Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"301","Siarczan 4-hydroxy-2,5,6-triaminopirymidyny","2,5,6-Triamino-4-Pyrimidinol Sulfate","1603-02-7","216-500-9","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 0,5 %","Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"302","Chlorowodorek 2-[(3-aminopirazolo[1,5-a]pirydyn-2-ylo)oksy]etanolu","Hydroxyethoxy Aminopyrazolopyridine HCl","1079221-49-0","695-745-7","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"303","3-amino-2,6-dimetylofenol","3-Amino-2,6-Dimethylphenol","6994-64-5","230-268-6","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"304","Chlorek 8-[(4-amino-3-nitrofenylo)azo]-7-hydroksy-N,N,N-trimetylo-2-naftalenoaminiowy","Basic Brown 17","68391-32-2","269-944-0","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 września 2017 r.: 2,0 %",,
"305","Chlorek 3-amino-7-(dimetylamino)-2-metoksyfenoksazyn-5-iowy","Basic Blue 124","67846-56-4","267-370-5","Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 września 2017 r.: 0,5 %","Od dnia 3 września 2017 r.: <br>— Nie używać z czynnikami nitrozującymi<br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg<br>— Przechowywać w pojemnikach niezawierających azotynów","Od dnia 3 marca 2018 r.: <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"306","Olej arachidowy, ekstrakty i pochodne","Arachis Hypogaea Oil <br>Arachis Hypogaea Seedcoat Extract <br>Arachis Hypogaea Flour <br>Arachis Hypogaea Fruit Extract <br>Arachis Hypogaea Sprout Extract <br>Hydrogenated Peanut Oil <br>Peanut Acid <br>Peanut Glycerides <br>Peanut Oil PEG-6 Esters <br>Peanutamide MEA <br>Peanutamide MIPA <br>Potassium Peanutate <br>Sodium Peanutamphoacetate <br>Sodium Peanutate <br>Sulfated Peanut Oil","8002-03-7 <br>8002-03-7 <br>8002-03-7 <br>8002-03-7 <br><br>68425-36-5 <br>91051-35-3 <br>91744-77-3 <br>68440-49-3 <br>93572-05-5 <br>61789-56-8 <br>61789-57-9 <br>73138-79-1","232-296-4 <br>232-296-4 <br>232-296-4 <br>232-296-4 <br><br>270-350-9 <br>293-087-1 <br>294-643-6 <br><br>297-433-2 <br><br>263-069-8 <br><br>263-070-3 <br>277-298-6",,,"Maksymalne stężenie białek orzechów arachidowych: 0,5 ppm <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 25 września 2018 r. nie wprowadza się do obrotu w Unii produktów kosmetycznych, które zawierają olej arachidowy, ekstrakty i pochodne i nie spełniają wymogów tego ograniczenia. Od dnia 25 grudnia 2018 r. nie udostępnia się na rynku unijnym produktów kosmetycznych, które zawierają olej arachidowy, ekstrakty i pochodne i nie spełniają wymogów tego ograniczenia.'>(22)</span></sup>",
"307","Hydrolizowane białko pszenicy","Hydrolyzed Wheat Protein","94350-06-8 / 222400-28-4 / 70084-87-6 / 100209-50-5","305-225-0 <br>309-358-5",,,"Maksymalna średnia masa cząsteczkowa peptydów w hydrolizatach: 3,5 kDa <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 25 września 2018 r. nie wprowadza się do obrotu w Unii produktów kosmetycznych, które zawierają hydrolizowane białka pszenicy i nie spełniają wymogów tego ograniczenia. Od dnia 25 grudnia 2018 r. nie udostępnia się na rynku unijnym produktów kosmetycznych, które zawierają hydrolizowane białka pszenicy i nie spełniają wymogów tego ograniczenia.'>(23)</span></sup>",
"308","Ekstrakt z kwiatów Tagetes minuta <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 maja 2019 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 sierpnia 2019 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(24)</span></sup> <br>Olejek z kwiatów Tagetes minuta <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 maja 2019 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 sierpnia 2019 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(25)</span></sup>","Tagetes minuta flower extract <br>Tagetes minuta flower oil","91770-75-1 <br>91770-75-1 / 8016-84-0","294-862-7 <br>294-862-7","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 0,01 % <br>b) 0,1 %","Dla a) i b): <br>Zawartość alfa-tertienylu (tertiofenu) w ekstrakcie/olejku ≤ 0,35 %. <br>Dla a): <br>Nie stosować w produktach przeciwsłonecznych ani we wprowadzanych do obrotu produktach poddawanych ekspozycji na naturalne lub sztuczne promieniowanie UV. <br>Dla a) i b): <br>W przypadku stosowania łącznie z Tagetes patula (pozycja 309) całkowita łączna zawartość aksamitki (Tagetes) w preparacie gotowym do użycia nie może przekraczać wartości granicznych maksymalnego stężenia określonych w kolumnie (g).",
"309","Ekstrakt z kwiatów Tagetes patula <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 maja 2019 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 sierpnia 2019 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(26)</span></sup> <br>Olejek z kwiatów Tagetes patula <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 1 maja 2019 r., nie wprowadza się do obrotu w Unii produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach. Począwszy od dnia 1 sierpnia 2019 r., nie udostępnia się na rynku unijnym produktów kosmetycznych zawierających tę substancję i niespełniających wymogów określonych w ograniczeniach.'>(27)</span></sup>","Tagetes patula flower extract <br>Tagetes patula flower oil","91722-29-1 <br>91722-29-1 / 8016-84-0","294-431-3 <br>294-431-3 / -","a) Produkty niespłukiwane <br>b) Produkty spłukiwane","a) 0,01 % <br>b) 0,1 %","Dla a) i b): <br>Zawartość alfa-tertienylu (tertiofenu) w ekstrakcie/olejku ≤ 0,35 %. <br>Dla a): <br>Nie stosować w produktach przeciwsłonecznych ani we wprowadzanych do obrotu produktach poddawanych ekspozycji na naturalne lub sztuczne promieniowanie UV. <br>Dla a) i b): <br>W przypadku stosowania łącznie z Tagetes minuta (pozycja 308) całkowita łączna zawartość aksamitki (Tagetes) w preparacie gotowym do użycia nie może przekraczać wartości granicznych maksymalnego stężenia określonych w kolumnie (g).",
"310","1-(4-chlorofenoksy)-1-(1H-imidazolilo)-3,3-dimetylo-2-butanon <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku zastosowania jako substancja konserwująca zob. załącznik V pozycja nr 32.'>(28)</span></sup>","Climbazole","38083-17-9","253-775-4","Spłukiwany szampon przeciwłupieżowy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 27 listopada 2019 r. nie można wprowadzać do obrotu w Unii produktów kosmetycznych zawierających 1-(4-chlorofenoksy)-1-(1H-imidazolilo)-3,3-dimetylo-2-butanon i niezgodnych z tymi ograniczeniami.'>(29)</span></sup>","2,0 % <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 27 listopada 2019 r. nie można wprowadzać do obrotu w Unii produktów kosmetycznych zawierających 1-(4-chlorofenoksy)-1-(1H-imidazolilo)-3,3-dimetylo-2-butanon i niezgodnych z tymi ograniczeniami.'>(29)</span></sup>","Do celów innych niż zahamowanie rozwoju drobnoustrojów w produkcie. <br>Cel musi wynikać z prezentacji produktu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Od dnia 27 listopada 2019 r. nie można wprowadzać do obrotu w Unii produktów kosmetycznych zawierających 1-(4-chlorofenoksy)-1-(1H-imidazolilo)-3,3-dimetylo-2-butanon i niezgodnych z tymi ograniczeniami.'>(29)</span></sup>",
"311","Tlenek difenylo(2,4,6-trimetylobenzoilo)fosfiny","Trimethylbenzoyl diphenylphosphine oxide","75980-60-8","278-355-8","Preparaty do sztucznych paznokci","5,0 %","Stosowanie profesjonalne","Tylko do użytku profesjonalnego <br>Unikać kontaktu ze skórą <br>Proszę uważnie przeczytać sposób użycia"
"312","2-furaldehyd","Furfural","98-01-1","202-627-7",,"0,001 %",,
"313","metakrylan 2-hydroksyetylu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 3 września 2021 r. nie udostępnia się na rynku w Unii produktów zawierających tę substancję i niespełniających wymogów określonych w powyższych warunkach.'>(30)</span></sup>","HEMA","868-77-9","212-782-2","Produkty do paznokci",,"Tylko do użytku profesjonalnego","Tylko do użytku profesjonalnego <br>Może powodować reakcję alergiczną"
"314","ester 4,4,6,16-tetrametylo-10,15-diokso, 2-[(2-metylo-1-okso-2-propenylo)oksy]etylowy kwasu 11,14-dioksa-2,9-diazaheptadekan-16-enowego <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Począwszy od dnia 3 września 2021 r. nie udostępnia się na rynku w Unii produktów zawierających tę substancję i niespełniających wymogów określonych w powyższych warunkach.'>(31)</span></sup>","Di-HEMA Trimethylhexyl Dicarbamate","41137-60-4/72869-86-4","255-239-5/276-957-5","Produkty do paznokci",,"Tylko do użytku profesjonalnego","Tylko do użytku profesjonalnego <br>Może powodować reakcję alergiczną"
"315","Chlorowodorek chlorku 4-(3-aminopirazolo[1,5-A]pirydyn-2-ylo)-1,1-dimetylopiperazyn-1-y","Dimethylpiperazinium Aminopyrazolopyridine HCl","1256553-33-9","813-255-5","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 czerwca 2021 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2 % (w przeliczeniu na wolną zasadę)","Od dnia 3 grudnia 2021 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"316","Chlorowodorek chlorku 1-(3-((4-aminofenylo)amino)propylo)-3-metylo-1H-imidazol-3-u","Methylimidazoliumpropyl p-phenylenediamine HCl","220158-86-1",,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 czerwca 2021 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2 % (w przeliczeniu na wolną zasadę)","Od dnia 3 grudnia 2021 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne.<br>Proszę przeczytać instrukcje i przestrzegać ich.<br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia.<br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii.<br>Nie farbować włosów, jeśli:<br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona,<br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów,<br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"317","Dimetanosulfonian di-[2-[(E)-2-[4-[bis(2-hydroksyetylo)aminofenylo]winylo]pirydyn-1-o]-etylo]disiarczku","HC Orange No. 6","1449653-83-1",,"Substancja do farbowania włosów w nieutleniających produktach do farbowania włosów","Od dnia 3 czerwca 2021 r.: 0,5 %","Nie mogąbyć obecne zanieczyszczenia metanosulfonianami, w szczególności metanosulfonianem etylu.",
